Name,Lowest price,Price per slot,Trader price,Hash EN,Hash RU
12x70 7mm Buckshot,0,0,0,7111a2689cc93d47f8d4c22b6283c623,bc444b8b8c71b2531e1b6dc6886c0e8a
12x70 Led slug,0,0,0,7111a2689cc93d47f8d4c22b6283c623,e0d256438ead20d079b1d9c609c4a0e7
12x70 RIP,0,0,0,42ee1ebe964dfca31896e274024808c9,625d4e066e9f22f701cd99b16e4eb37b
12x70 shell with .50 BMG bullet,0,0,0,75ab5df2fc716abd1a4d55aab391b4ff,32e01631c38128128e7069dd466c69b9
20/70 5.6mm Buckshot,0,0,0,75ab5df2fc716abd1a4d55aab391b4ff,2f3cbce746730301f0202fcabf853a44
20/70 6.2mm Buckshot,0,0,0,53f6d4adc807d9c16992a87749775f55,a008268b44b14377bc57ca13fdfdf522
20/70 7.3mm Buckshot,0,0,0,6d10edcd9f31be1f02056e9f00f0e111,d69d2c65f2e90811a4c6b270ff8f2ed2
20/70 Devastator Slug,0,0,0,6d10edcd9f31be1f02056e9f00f0e111,ebbd2c64abd410e9cd93c74834376520
"20/70 Slug ""Poleva-3""",0,0,0,21a1f62fcf870becdf641fd324cc4353,5df981b335f23647e820ea6bf4435b28
20/70 Slug Poleva-6u,0,0,0,db6d7f470c314640b75d7fc03e789522,7fdd3ae144eddbd5989308049f19c5d8
20/70 Star Slug,0,0,0,204fcbbafde308b735a83493231de730,f97b807858272b05a50e554a483f59a5
20x70 7.5mm Buckshot,0,0,0,2eeb3807d66766075234603bdab68d13,30e979cae17d018c77bf7bcb760d5473
"23x75mm ""Barricade""",0,0,0,7bf4c6790e4a2dbe00d4894c99efbfb4,f76c081cbccbea514e71822bc4d2536a
"23x75mm ""Star""",0,0,0,5383f32c75e64d482fbd99d0764d4744,c99add84e94c18b9c09800e9dfbcfe73
23x75mm Shrapnel 10,880,880,44,f55aa0f963974b789c5d03d2ecde526f,7109f6d7b2d528122bfb3734101fb96d
23x75mm Shrapnel-25,388,388,54,13154a1f6b2a079828e96c8b143df0a0,5f9e87033e56d480fc52a6d07b427f54
30x29 mm VOG-30,980,980,549,No hash,No hash
4.6x30mm AP SX,255,255,143,3ae79ec0b6ae14eafaf3d6831805ebc3,500b19f10c076422f9060c7d58189ed2
4.6x30mm Action SX,119,119,55,854cf9a8b9d29a304f9355a356478967,554ade41bcf4bc78a3a1f9bcaec43c39
4.6x30mm FMJ SX,"1,009","1,009",69,f1830e84c73ba8702e3658ba7da470cd,0f52415276465e5d70758588250621ac
4.6x30mm Subsonic SX,162,162,91,ec4dd328c8c6f31047ab423dd15cd80d,425c2c494223b8a317787e9b8482d6e4
40x46 mm M381 (HE),"22,957","22,957","3,192",42457725ced802d045056509dc02a598,a6e92185d2fdcc08cdb549eb3bcc2e07
40x46 mm M386(HE),"4,696","4,696","3,836",da52db111c087da9a5247fc39fa3c6a2,3e8a7c5bf5b882408edc798fa8d89827
40x46 mm M406 (HE),"4,562","4,562","4,312",399ec8d38982140062465c977abcea1f,9923191220c0749f02f29aa64c7e99d4
40x46 mm M433 (HEDP),"10,5","10,5","5,88",92bd889cf723ed07f7d3a1abd85b8719,7f3bee9755edce3d0ef0eb20d9065f47
40x46 mm M441(HE),"8,5","8,5","4,76",db8b2f5a881072df458ae05c8d8afd0b,45611807465af63afa5d8d3dae9adcd8
40x46 mm M576(MP-APERS),"1,548","1,548","1,624",747ed18f1f9b3b19b3db85b5196c63e9,c4b429a372034783ab3349a47c4be644
"5.45x39 mm 7N39 ""Igolnik""",0,0,0,ff38609a4854975d38f47b61b120e5b0,5417c444cf18a3c7b76e90ef611028d1
5.45x39 mm BP,"15,5","15,5",560,34ca639cef611b6a082e5f67b90e1a1d,2755aac771795ec3fa564374908705f5
5.45x39 mm BS,1,1,560,31de961a14009cf5f21d4bd0696e6a90,22d5b91dd0d4bad530e7a66a203cfd9b
5.45x39 mm BT,"76,444","76,444",560,82df0db6060f86ba4293d2f251bf7397,124dd328d9e40fc4eca2416cf4569c12
5.45x39 mm FMJ,1,1,560,7e085c0dfd89b62742f8879da8f632e7,fdab3fb6ac8e550634dee11b46ea5ce8
5.45x39 mm HP,"3,847","3,847",560,35dabe5af2f986c449ba8b7c28fc9e85,7763a49e3cff5c3b96de9a3b8be2b5f6
5.45x39 mm PP,"24,444","24,444",560,9f85c1e5ea344d88c71e68bff9fba843,8caf2f9494d1dddaeaf79566cf5cfacf
5.45x39 mm PRS,"8,46","8,46",560,a7f2fb85c5c1d3c7c61d5cfc513d349b,04601fa15d45da2330954921b093ee31
5.45x39 mm PS,"41,375","41,375",560,d1a7d29dc855a1e0e8a64f2d3f405a4d,9e2440200f0f1d15fc1863e7a8469bbb
5.45x39 mm SP,1,1,560,8fa056334e562a9fbe460bb0c44ba36f,5f2c716d62fe4029b6912ebb5258fd15
5.45x39 mm T,50,50,22,ce35ef4514b29b786aaeb26c55511d1f,de98bd4f6d213544e23c06e4d5a0146f
5.45x39 mm US,75,75,44,abe05ce5d7992793dc20599da500c24b,0dc0381304ec6a89dd3f913ffd7162ed
5.56x45 mm 55 FMJ,0,0,0,abe05ce5d7992793dc20599da500c24b,a2c29013034d798072c6a710f0154f78
5.56x45 mm 55 HP,0,0,0,bf2552a488ee396043b710379123e6cc,5dfa7a69331644a738223a044cf9df59
5.56x45 mm M855,15,15,560,da6bd6c4c77956456ef522ba32809a55,ef4888a6005dcddb46e0dce36e24fdcb
5.56x45 mm M855A1,142,142,80,90c841ff7a364d50105df09049868e45,3b16388fb54035e0aa7b33530d2c5cde
5.56x45 mm M856,216,216,72,e4d3e7f3cc961cca129d460404b6c6fe,da57264bf57dd986f0f0c79d1a5e8794
5.56x45 mm M856A1,182,182,102,eec34f50e6704a6604ffb88b375104c8,12003d56d7b9e542f3d01ea8acdad657
5.56x45 mm M995,345,345,193,cc139747b758a4607c65db1af977de72,5b046573654e8cf886a516473b7d49e7
5.56x45 mm Mk 255 Mod 0,0,0,0,1367f0fba12173a4d6e1da8d259a05d7,802ee5aa87a2a11eecbd88393f4c1612
5.56x45mm Warmage,"1,283","1,283",560,d14d56dfed877fea97ab056882d0cc58,95a7ddd23b60b27435068aa608723658
5.7x28 mm L191,"1,2","1,2",63,ec42d0463ee0cd310bf4072c621d6288,4e7c7dbf79a5ef19a75f2def7825db1b
5.7x28 mm R37.F,406,406,104,12d9a258b001c655a142d4d0eb5fe4e0,24cfb2444f7f3e60f4f49d122878580e
5.7x28 mm R37.X,527,527,87,9709bbf60b42b62d99ae7d35b5a8d318,ac3778b584c7d32504c6c4e5e68c8c9e
5.7x28 mm SB193,143,143,80,4c3f2c4d143802becdbe68f42a16fb84,7d7ae30ab43899e1b7a4c209df5ab720
5.7x28 mm SS190,105,105,59,c072b65633e3e09b8f3680b3742eaa9a,78bbde92d579cd98e8c8262183009aab
5.7x28 mm SS197SR,560,560,62,6100e2d53ca50d822417ba625f1f568d,2d68f3d6e8b3cc6532413e3d9cfad5e2
5.7x28 mm SS198LF,749,749,75,1e8505625ab04d6b48110dea5b9b7f3f,e16f93e1255a8e79b1df849761a91210
7.62x25mm TT AKBS,49,49,27,13ce21de965cc1f056b82d7e01045c72,cc29099e5e0bf007c6861ce9c3bcf58f
7.62x25mm TT FMJ43,67,67,28,34fce1e55c4272b686f31afcf261ff1d,121ea85dada24afe4e7070781f64aa06
7.62x25mm TT LRN,68,68,38,de5466b8638d5f37fc31517647b64828,cdc1f79cb09d93afc2e0ee31b16dad8e
7.62x25mm TT LRNPC,68,68,38,3714f1d91e962564603c5c375553d917,fdbf39dd4a9151e75809e9f4829ca932
7.62x25mm TT P gl,61,61,29,edb002e2334693bc918e80745c53e9c6,5919cecb54f77a3f918831d4cc3f26e4
7.62x25mm TT PT gzh,666,666,35,361e50b501716e8cc74158faadf0a155,936111406c9f4e41a9e1df7cebecb5d0
7.62x25mm TT Pst gzh,70,70,39,71a23013bf6c7238552c4aa4fbcc75a4,43bd615a4f8b5cc0690a283b05531989
7.62x39 mm BP,299,299,167,691d748c573756a360afb440fd0d1049,8582303967451cd3d31c256f81b37131
7.62x39 mm HP,116,116,34,691d748c573756a360afb440fd0d1049,6a05cc40c5e08409ab42ea6373558508
7.62x39 mm PS,"9,011","9,011",560,1393550d9ee4ebe28ab3cd551e404175,f251d311f1dcc90d483c3f8a5c300197
7.62x39 mm T45M,63,63,32,1393550d9ee4ebe28ab3cd551e404175,d34f0beef185a14608871d1b7d196d63
7.62x39 mm US,"1,6","1,6",75,7044e98c287cae5a02762a01a7e0e69d,1d97a4fbb328f59b1e1d477f067f00f6
7.62x51 mm BPZ FMJ,0,0,0,7044e98c287cae5a02762a01a7e0e69d,d098ff671a271f756371fc72ab529c50
7.62x51 mm M61,390,390,218,1c09f7352b2b6b33ee0f55aed187c25e,5a02d8c7a75ff699ba06b78d41a5f2da
7.62x51 mm M62,275,275,154,fc262e531d89bbaad8d2745663cd04f1,f3d83e6140bb7e73cd664d77405ed48b
7.62x51 mm M80,942,942,100,f632d69d613b0286642a1ec3274314ac,4af976bdf2365f80c6bdbfd4421cb6cb
7.62x51 mm M993,450,450,252,bd961dd84358352ef727229f71eeefdf,05c84018fc6c04304b4ffd3f5a0a753d
7.62x51 mm TPZ SP,0,0,0,d19bae76f85c1b6894a68505af901d08,9c59f2d17f7e9702729e3e3394efdc37
7.62x51 mm Ultra Nosler,524,524,179,b8749d121b4942b2d06b8381b0aa1809,4170695af8934facf7d27d07a2ab8695
7.62x54R 7BT1,0,0,0,16b755eaf22c80682fab47e6bbc31ab2,80d0a4a1f9a04659010a34c02fa7f037
7.62x54R 7N1 Sniper cartridge,0,0,0,d71f39ef6f90d68cd67a717d8758d715,b2cb5831fba026d25e47549c6bd6b6bc
7.62x54R 7N37,0,0,0,1b011e1ffe3b445a4b720ed8290dbcd2,806c8a6da7c6829e0a5c3df219027f99
7.62x54R LPS Gzh,0,0,0,6756db92fa35ea4204778894d7d13493,fceb180480e90123c203c99a631b27d1
7.62x54R SNB,0,0,0,bb99d24bca9c97361eab7d5b30019a2b,dd354899fbe3c1b3a437d103b0c45b05
7.62x54R T-46M,0,0,0,62183fdc26ac6511fcc974ef2f6b3e2a,62183fdc26ac6511fcc974ef2f6b3e2a
9x18 mm PM 9 BZT gzh,0,0,0,75e4fde1f24d2ab86409742bc74c1aee,c164b1d30009d6a5f9c708cbe5604774
9x18 mm PM 9 P gzh,0,0,0,51e75616f28bc4b6e2d39d198a5666ec,cdd3cb80e7110877563a3335cf9601d9
9x18 mm PM PBM,"16,5","16,5",560,01b0bb1294ce20976aecff925ca8d47a,a17574cb219d3ff84aa5437eb4b95949
9x18 mm PM PMM,0,0,0,1cd92d9a589cfafe194d2c3e57618cd1,6069b168ec08743f659dbfaf27dcceaa
9x18 mm PM PPT gzh,"6,9","6,9",560,7d962dd33d01c40d5b29f28b34bc1af7,b5c5f591ce1180fbd18f44ba612239ab
9x18 mm PM PPe gzh,0,0,0,fdffeba48d2cdf55251d44f6c7833371,8f708d9bf71da1822de9a3d8dd366f34
9x18 mm PM PRS gs,1,1,560,d490e891fe4f41a2ef00a82d0457ea98,67815115436ffe6328da93db461783c6
9x18 mm PM PS gs PPO,"9,2","9,2",560,bdd5520f401c8b330a30071fef2c7f12,12104c1bd44ce6742330488e061e5c57
9x18 mm PM PSO gzh,10,10,560,3d92bfa56a9a09518eb9ee3135a0c0c3,43c385ecc212ee3c5439a6d44b471f71
9x18 mm PM PSV,1,1,560,d74f86c466b1d801a95bd9054463185a,86a9a664f8f25f1766f4738a4a28cbf7
9x18 mm PM Pst gzh,1,1,560,35d87f00320c097806b115171d1124b9,1709ed7a3badf185b42cab7e6d85627c
9x18 mm PM SP7 gzh,50,50,560,cfe3bbb13bd5705184523dcae732731c,588f7c81e19eb9e2b75ff1df9b35d835
9x18 mm PM SP8 gzh,"8,7","8,7",560,9c66b43055f0a1e055958068233cb781,db9519147404cc1a60ac662ad2afe897
9x18mm PM RG028 gzh,1,1,560,6f1db00bf1c6c8aff5cda16874961798,288a6d8d09864d1be1733b7f13d6e8a4
9x19 mm 7N31,0,0,0,dda1e96be3da5e509d1cd70045656921,df287fc99e44bb79fb4ecb70f91bb5fc
9x19 mm AP 6.3,110,110,62,6c04aceef321390f9744d59471911716,a6630379fe584d47a24402e0d3222490
9x19 mm Green Tracer,0,0,0,6d1c9273134efa128975d8eddc283a3f,e3943b099f91b795562bb8b131e429ed
9x19 mm Luger CCI,567,567,104,9ee557851482e6d181a6871248ce9f1a,1a80edc1a67c1964a9e1aa305d8e8d0e
9x19 mm PSO gzh,109,109,27,cea96f78df36157953b7ccd24f7a0322,0e0c9b124097a2f8f58625594caa70fe
9x19 mm Pst gzh,1,1,560,5409151064e40dabf05e8b1c113e0b17,895b56f2cbb51e5fb35144d68a49260e
9x19 mm QuakeMaker,641,641,78,d1fb280f88147d2e327ca555b878d16a,aca2c55fe3914909168ac55868314ea6
9x19 mm RIP,20,20,560,fbdc918470df24af2948a75c8df33af0,81de0768d429e46cc075cec253f811c6
9x21 mm SP10,0,0,0,7dae33fbe8e9908ca991ec6c6561cdc2,c569a0f64cc4d558f20f1f8ec4d93247
9x21 mm SP11,0,0,0,0743e5fb49977812d066d29c328463e6,f89e1b3c6dcc291fe1503eee4ecb5ab7
9x21 mm SP12,0,0,0,6e86b8269a99a4313d76ec0009e8fe87,91fd70c26284bd7df7196045779549f3
9x21 mm SP13,0,0,0,24d7daae404e083970b7edf39565f6a2,c525775d08ea9137196a4ad652055afa
9x39 mm 7N12 BP,0,0,0,d0aae8787f0070c8dede5aa8bb56c31d,58b69588dfb45f63927177011298069d
9x39 mm 7N9 SPP,0,0,0,ae197d1876a4e4c4d5fdfe6966afde95,a631f7f40447d9a404e25251e443db72
9x39 mm SP-5,344,344,90,63088caed3990075086594727488ba7c,1306ba7f50de4014f0b93ad413a78678
9x39 mm SP-6,550,550,120,219cb75960d77707303fcc836349aa59,b0d4c071088d6813d0c5f9fa68c11fdb
9x21 Serdyukov automatic pistol SR1MP Gyurza,0,0,0,f464c143a651b2e0f4909c3ecfff46d6,afa75079bbe0af2a1b01c9bfb2bc5ef3
ADAR 2-15 .223 Carbine,0,0,0,89b72854a64cd1947280855c230d2803,7ce56fcaa169cb68cf7f2b8f35d98a3b
AGS 30x29 mm automatic grenade launcher,0,0,0,No hash,No hash
AK-101 5.56x45 assault rifle,0,0,0,88f7722ba2218756bb058253daa4a3e7,3ba14755f06784b887b2d6534432e8cc
AK-102 5.56x45 assault rifle,0,0,0,b7516006b5fdf57dcc6d914446defe0e,c2a7d11d04ee4f9f6afa7635006d18e8
AK-103 7.62x39 assault rifle,0,0,0,21318708bbf1ce89d5b8718d81263981,1d069cb0563910f3a917bb6d1842be9b
AK-104 7.62x39 assault rifle,0,0,0,21318708bbf1ce89d5b8718d81263981,b41e0d5e7fe90aaefd09596993ea65d6
AK-105 5.45x39 assault rifle,0,0,0,21318708bbf1ce89d5b8718d81263981,da61f5351301d0299edb86045afaf0e2
AK-74 5.45x39 assault rifle,0,0,0,abc9b75786789247b302dbd69376cf1a,52773f99116378a4423dd75008ae79c4
AK-74M 5.45x39 assault rifle,0,0,0,a090060b2a66bed14b7b5a26a3036f79,9e2e6d73e99fc04c111e99b37beb45db
AK-74N 5.45x39 assault rifle,0,0,0,635aa48fdec12fc4a9a36d136ae6308f,926aed98d46f5ce4a1918bf54dc402cf
AKM 7.62x39 assault rifle,0,0,0,e172def90c637b57749c6044543c39f7,3be20c4a9f57641ed353b6db4af86b34
AKMN 7.62x39 assault rifle,0,0,0,395d730093e5d1e0b4d5f3e8b2e6c43c,68a010d201d0fa142c471253b0bd180e
AKMS 7.62x39 assault rifle,0,0,0,559052172d7bd5d5582a30046899a8dc,6b96435cb166d906ba6d8ea6ddab9438
AKMSN 7.62x39 assault rifle,0,0,0,dc698e3712f4c17da705e1d7f6deaa5b,074f80fa3494b44f010568321f682564
AKS-74 5.45x39 assault rifle,0,0,0,46515dc408631f9647982d82b0dc8564,b726a06c5a076215bd04495be4c5b64e
AKS-74N 5.45x39 assault rifle,0,0,0,a8846fa74f6db15b1dac8733de204feb,ea0630286d5cb5806b1c79920c5f3c73
AS VAL,"35,464","17,732",895,2b1d59acde9f47e82cfbab97ec8ca67e,5a902b014fab4f9a42c238a608e2c71c
ASh-12 12.7x55 assault rifle,"57,999","7,25","52,528",142323fd309615ece266823fafa42526,e23489b9a4660edc482337c2768f970b
B&T MP9 9x19 submachinegun,0,0,0,3acd912e8b4c03d9fc0e9168fa859ccf,21d87748ffd405f413de5f00755b9b3d
B&T MP9-N 9x19 Submachinegun,0,0,0,cd1918eb467d9a75c8addcb9217ac3e7,faeac2d4b7012069743a8d4513692e6e
Beretta M9A3 9x19 pistol,"13,711","6,856","2,688",7364d920289981ee869dfa7492eed456,b1f4adab5b1abff01fd6f4ff1bb00419
Colt M1911A1 .45 ACP pistol,"9,653","4,827","3,028",0540f22a13b3fc3bf899d12cd022c2b0,0af24aee72549a39c9050a8bec51a065
Colt M45A1 .45 ACP pistol,"11,322","5,661","4,148",e43de8ee5dd7a6162c478bc9a60c7a14,df2c7718789f0634ea17efd1e8917e68
Colt M4A1 5.56x45 Assault Rifle,0,0,0,68b91bb59a7eebd8b660dedfd4aae76e,f774b633f0de7c6fc0946462f47457fd
DS Arms SA-58 7.62x51,"33,842","3,384","17,412",559c978815186f76d2352592b11abe37,9ac0a1bd08314518a3ed8be7fc5da250
DT MDR 5.56x45 Assault Rifle,0,0,0,853b484c9cfec5655dd8c48e956ef6a2,fe1e41992285afd64097bd4ac986415e
DT MDR 7.62x51 Assault Rifle,0,0,0,600450c674cbd76b7131d46ab3bf3459,8c77b842f14d0af5574f4d210401053d
DVL-10 Saboteur sniper rifle,0,0,0,a1c8c28607daee44d728a216ee0626a6,ed0f57de38464af034821bed0323f945
FN Five-seveN MK2 5.7x28 pistol,"27,779","13,89","7,973",8fc2b0d361680464b41687956fae4934,d099e0dbe6b54f3a4fe15a10ee8814fb
FN Five-seveN MK2 FDE Frame 5.7x28 pistol,0,0,0,227dda6fa830a1c0395a3926c330640c,3c68a1c67dfa8a821c7049b819904863
FN GL40 Mk.2 grenade launcher,0,0,0,81017a217a68681c9bae41937b0b7996,69d58eec51594c8c768fef9f9b711c3a
FN P90 5.7x28 submachinegun,0,0,0,c30ca874f84b3f37f505b40603229d55,15b1c0ce8f5c54ce50f9380cdba5737c
GLOCK 17 9x19 pistol,0,0,0,2c80aa5f62b191f593e8239f60f66389,5da80c423bac85dfba46c2ecfd187542
GLOCK 18C 9x19 pistol,0,0,0,c83eaf600b28365daab8b518747e13b1,73bca4f9853b542fcf92b4d1c18afbb3
HK 416A5 5.56x45 Assault Rifle,0,0,0,13908ced84f47204e0b35af4cb55a461,17529c29ac32e137cac1bd46af8e8e10
HK MP5 9x19 submachinegun (Navy 3 Round Burst),0,0,0,566fd2c950986ea790ced7c59f08076b,9c7378d8f2c440e3a0598c4d8e42172c
HK MP5 Kurz 9x19 submachinegun,0,0,0,7d65b10866d7575196c2e55409da2aec,046de5a67e570c54bc5d11a8a076cc16
HK MP7A1 4.6x30 submachinegun,0,0,0,b2619425b0fb7bee6ae158efa7bb5a29,20f0e44075c0433ea8893bb2020c1cd4
HK MP7A2 4.6x30 submachinegun,0,0,0,674600fa8205a5c5f58025e655dd5fd8,2cecbb280dc56e28226ce75084732ecc
HK UMP 45 submachinegun,0,0,0,6e0d9d503f9af77e72adf798db95846f,36e54c228955b69f2fa0ce09c115a04e
Kalashnikov AKS-74U 5.45x39,"16,221","2,028","7,64",914aca0a422cc0ce58abba9bfd6bbcf5,1146b3ac46b91c2f013c35a2106a2edc
Kalashnikov AKS-74UB 5.45x39,"26,936","2,694","12,178",bd50c50f3bf9f162c24e5ebe5537abe6,e3bf99680b237e122532d5c8c1385c11
Kalashnikov AKS-74UN 5.45x39,"27,501","3,438","10,833",fb71b138689de63f171ed40a9a0a2985,63a384b0674529bf0d201d50335ee628
Kel-Tec RFB 7.62x51,"53,714","6,714","13,048",f90cc573dfa45b3b1559feafa620f7a9,e57b6bc0aebffe97c207cc7197b6733c
Knight's Armament Company SR-25 7.62x51,"75,414","7,541","14,763",08feafd89493544374481e64852844de,baba879feb5a5089f1ca5e6b3dbe7dcb
Lone Star TX-15 DML Rifle,0,0,0,662586f6586df1542d865eb996fe7d39,baec877911ee40091be1876513ffea28
MP-133 12ga shotgun,0,0,0,e417853e096f87e9d7101b03cd875abd,e2b13d276c2cee37cce474cf7853643a
MP-153 12ga semi-automatic shotgun,"23,565","3,366","8,389",41eb0a511b04a1bdf385fb43e963348f,171cc8ed9e31376f2c3d5e2cd88e5e20
Mk-18 .338 LM marksman rifle,0,0,0,2c8eaedaea08946af778c7af4253739a,0db47e34f137899cce5ee7ac876e80d0
Molot VPO-215 .366 TKM rifle,0,0,0,6e316b56d9340731b3b09bb2d68c7fdf,2001e1012e6b3281fd33dcf8028b9bed
Mosin bolt-action infantry rifle,0,0,0,22b05007a6b0d2d58421433fe33087d3,938949d0527c58c1905429bb5d49eaca
Mosin bolt-action sniper rifle,0,0,0,0ad3aa79791d6f59efbc791131927d77,485eeb9abd9d317e66229fee098c9ca4
Mossberg 590A1 12ga shotgun,0,0,0,283bf5e84acd5f84b1af26393d90812f,84367994dbe1160cf0bc5cfa5f25621a
"NSV ""Utes"" 12.7x108 machine gun",0,0,0,No hash,No hash
Orsis T-5000 .308 sniper rifle,0,0,0,86bd2aadba7b8b4c9e8d6c2a209891d9,4450f32218ce3d9dc92645c6830b0871
P226R 9x19 pistol,0,0,0,0fe37908af5f4f74c29d54a22e65d3e3,1f6159999a25ed3343c7c3c2af8b6ef3
PB 9x18PM silenced pistol,"13,135","6,568","6,439",29c5a3e55fbf2b54cb326c6dc85272d3,882d8282a50fa93b4db449eea941a14e
PM (t) 9x18PM pistol,0,0,0,556984bd5ff3c59a86608209a23a7862,48ad0de348c25d437f4db60b42d32b57
PM 9x18PM pistol,0,0,0,556984bd5ff3c59a86608209a23a7862,882d8282a50fa93b4db449eea941a14e
PP-9 Klin 9x18PMM SMG,0,0,0,b489449beb7d1c803fd1772def048665,02cb3747acc0e669e6989f6793fb1185
PP-91 Kedr 9x18PM SMG,0,0,0,376e0aeff4235ec028cedb454cf21859,No hash
PP-91-01 Kedr-B 9x18PM SMG,0,0,0,c337bba411b161343f90ab3f8dabde9c,50aa003539bb691f9edf7d23403b5a71
RPK-16 5.45x39 light machine gun,"44,309","4,431","12,522",b4e4b471828549b5ee94cf68dffd5fcd,b5cdbc5e7f1629e35d9e103f1af04237
Remington Model 700 Sniper rifle,0,0,0,66192d8cf61630884bc306d848388346,ffe82f0761f373a5961ef67f43253bf6
Remington Model 870 12ga shotgun,0,0,0,035e117cb1628fc2736f33eb87135b68,0b2f8ad977d28721d8f74700f48f797f
Remington R11 RSASS 7.62x51,"396,375","39,638","24,963",90ce72ffad8ddf17b0ee27fdb900cec6,489f9143a9aeff5382d1819f6798612b
SIG MCX .300 AAC Blackout Assault Rifle,0,0,0,9102b55a803b48c308da1bce5f09d6bf,3125e499752c2e256095b9883e43c066
SIG MPX 9x19 Submachine gun,0,0,0,cbda1235a4c1ab31bf84b3373f0ef013,e904e65c0c28e8ba469314f85f68d9a6
SV-98 bolt-action sniper rifle,0,0,0,e4197a8014ec999f7d40d8f1139194cb,6c02c228f9454c34985c2bf63d54df3d
SVDS 7.62x54 Sniper rifle,0,0,0,8855c0c69988e9ff44ee08fd92e946e5,d568818790708fb1b96ab7e435bf11a9
Saiga 12ga ver. 10 12/76 shotgun,0,0,0,d2d46081b2df1ec1dd18824053633fc2,8867e38b400042b72a294dd507d79f63
